region	split_source	target_parent_id	target_parent_product_code	target_parent_product_label	target_parent_activity_code	target_parent_activity_label	split_label	split_label_description	split_kind	split_product_code	split_activity_code	split_share
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	DES	Desktop computers	child	CPA_C26_DES	C26_DES	0.0017926189104331004
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	LAP	Laptops	child	CPA_C26_LAP	C26_LAP	0.00024019941876135114
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	MOB	Mobile phones	child	CPA_C26_MOB	C26_MOB	0.0
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	MON	Monitors	child	CPA_C26_MON	C26_MON	0.0025435194024032923
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	OFMA_c	Other office machinery and computers	child	CPA_C26_OFMA_c	C26_OFMA_c	0.15086437902318398
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	OFMA_res	Residual office machinery and computer equipment outside CE-RISE disaggregation	residual	CPA_C26_OFMA_res	C26_OFMA_res	0.06693450075722991
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	PRI	Printers	child	CPA_C26_PRI	C26_PRI	0.0032833044144913426
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	RATV_c	Other radio, television and communication equipment	child	CPA_C26_RATV_c	C26_RATV_c	0.541275978830727
IT	manufacturing	C26	CPA_C26	Computer, electronic and optical products	C26	C26	RATV_res	Residual radio, television and communication equipment outside CE-RISE disaggregation	residual	CPA_C26_RATV_res	C26_RATV_res	0.23306549924277012
IT	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	BAT	Batteries	child	CPA_C27_BAT	C27_BAT	0.00036006763123113403
IT	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	ELMA_c	Other electrical machinery and apparatus	child	CPA_C27_ELMA_c	C27_ELMA_c	0.6914443036188803
IT	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	ELMA_res	Residual electrical equipment outside CE-RISE disaggregation	residual	CPA_C27_ELMA_res	C27_ELMA_res	0.3
IT	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	HPP	Household appliances	child	CPA_C27_HPP	C27_HPP	0.008195628749888564
