product_region	product_sector	activity_region	activity_sector	original_value_meur	balanced_value_meur	delta_meur	abs_delta_meur	pct_delta	objective_contribution
ROW	OTHER_MANUFACTURING	ROW	TRADE	46659.83998109962	46659.45867372463	-0.38130737499159295	0.38130737499159295	-0.0008172067781330758	0.07269765711148964
ROW	OTHER_SERVICES	ROW	TRANSPORT	43872.24456994071	43871.87677365014	-0.3677962905712775	0.3677962905712775	-0.0008383347927069019	0.06763705567899579
ROW	TRANSPORT	ROW	PUBLIC_SOCIAL	41164.462	41164.10220318364	-0.3597968163594487	0.3597968163594487	-0.0008740471729217515	0.06472687453119744
ROW	AGRI_FOOD	ROW	PUBLIC_SOCIAL	5605.428	5605.080207106654	-0.34779289334619534	0.34779289334619534	-0.006204573376844647	0.060479948331059005
ROW	UTIL_WASTE	ROW	PUBLIC_SOCIAL	215599.98554747543	215599.6396880901	-0.34585938532836735	0.34585938532836735	-0.00016041716535839407	0.05980935720985804
ROW	OTHER_SERVICES	ROW	EXTRACTIVE	12930.542957961776	12930.201872946	-0.34108501577611605	0.34108501577611605	-0.0026378243890067925	0.05816949399349667
ROW	PUBLIC_SOCIAL	ROW	PUBLIC_SOCIAL	1.3585681650999999e7	1.358568131082073e7	-0.340179268270731	0.340179268270731	-2.5039543617282645e-6	0.057860967280604976
ROW	OTHER_MANUFACTURING	ROW	CONSTRUCTION	5362.458381735794	5362.118448336519	-0.339933399275651	0.339933399275651	-0.006339133566676124	0.05777735797154959
ROW	OTHER_SERVICES	ROW	UTIL_WASTE	21301.18058176918	21300.85512003125	-0.3254617379279807	0.3254617379279807	-0.001527904693726367	0.0529626714275508
ROW	TRADE	ROW	PUBLIC_SOCIAL	39814.112310516226	39813.78996110597	-0.32234941025672015	0.32234941025672015	-0.0008096360600549595	0.05195457114642764
ROW	OTHER_SERVICES	ROW	BASIC_METALS	11096.383292618983	11096.065509764712	-0.31778285427026276	0.31778285427026276	-0.002863841721127671	0.05049297123407753
ROW	METAL_COMPONENTS	ROW	PUBLIC_SOCIAL	309.558	309.24219010611034	-0.3158098938896501	0.3158098938896501	-0.10201961955098886	0.04986794453929602
ROW	EXTRACTIVE	ROW	PUBLIC_SOCIAL	1658.64	1658.3245733092774	-0.31542669072268836	0.31542669072268836	-0.01901718822183767	0.04974699861013325
ROW	BASIC_METALS	ROW	PUBLIC_SOCIAL	15.734	15.421320584940167	-0.3126794150598329	0.3126794150598329	-1.9872849565262036	0.04888420830107962
ROW	NEW_ELMA	ROW	PUBLIC_SOCIAL	53.1294860682617	52.81744934200702	-0.31203672625467505	0.31203672625467505	-0.5873136545190081	0.04868345926586751
ROW	CONSTRUCTION	ROW	PUBLIC_SOCIAL	24479.492	24479.180298093725	-0.3117019062738109	0.3117019062738109	-0.0012733185242316748	0.048579039187363796
ROW	NEW_RATV	ROW	PUBLIC_SOCIAL	106.49962444253669	106.18912686106268	-0.3104975814740101	0.3104975814740101	-0.291548052961955	0.048204374050604765
ROW	NEW_OFMA	ROW	PUBLIC_SOCIAL	20.22361268263903	19.921420683256162	-0.3021919993828668	0.3021919993828668	-1.494253297494585	0.04566000224550728
ROW	REU_RATV	ROW	PUBLIC_SOCIAL	314.72685965783694	314.42663267113704	-0.3002269866998972	0.3002269866998972	-0.09539287082973992	0.045068121771450136
ROW	REF_RATV	ROW	PUBLIC_SOCIAL	331.64840085417813	331.34852337511	-0.29987747906812956	0.29987747906812956	-0.0904203000212813	0.044963251226128244
ROW	REF_ELMA	ROW	PUBLIC_SOCIAL	215.8208978045617	215.52149516109893	-0.2994026434627699	0.2994026434627699	-0.1387273644528605	0.044820971456247256
ROW	REU_ELMA	ROW	PUBLIC_SOCIAL	161.72953632203757	161.4310199858173	-0.29851633622027407	0.29851633622027407	-0.18457750081337349	0.044556001495187854
ROW	REF_OFMA	ROW	PUBLIC_SOCIAL	62.91102784744467	62.61304251479786	-0.29798533264681026	0.29798533264681026	-0.47366152301533865	0.044397629236315087
ROW	REU_OFMA	ROW	PUBLIC_SOCIAL	59.701147906269334	59.40403724500707	-0.29711066126226626	0.29711066126226626	-0.49766323041012434	0.04413737251785056
ROW	OTHER_SERVICES	ROW	NEW_RATV	50981.75458855883	50981.46687116662	-0.2877173922097427	0.2877173922097427	-0.0005643536487351719	0.04139064888998745
ROW	OTHER_SERVICES	ROW	METAL_COMPONENTS	23668.696664540894	23668.411168219434	-0.28549632145950454	0.28549632145950454	-0.0012062190221366056	0.04075407478345438
