instrument,wedge_percent,family,route,valid_parameter_configurations,median_change_tonnes,lower_quartile_change_tonnes,upper_quartile_change_tonnes,median_change_percent,lower_quartile_change_percent,upper_quartile_change_percent
refurbishment_support,0.25,OFMA,REC,729,0.00032965438939916436,-0.00027159223662287513,0.005711064612288791,2.9339081400869953e-5,-2.4171577853539317e-5,0.0005082819914849687
refurbishment_support,0.25,OFMA,REP,729,-3.76249294947027,-11.048420304791797,0.28987599243001094,-0.004175498695037484,-0.012261196282475139,0.00032169544086045875
refurbishment_support,0.25,OFMA,REU,729,-0.0024197093885280907,-0.010785645694682322,0.0013563531912514915,-0.006831440868654692,-0.030450557882202044,0.0038293220942049026
refurbishment_support,0.25,RATV,INC,729,-0.05475789032234957,-0.07639822968971544,-0.038131898784996565,-0.00015206260096257995,-0.00021215779949091814,-0.0001058922408214433
refurbishment_support,0.25,RATV,REC,729,0.008942650672793206,-0.005838607954800068,0.07681938236325436,6.308907334259473e-5,-4.1190512629516016e-5,0.0005419493420214754
refurbishment_support,0.25,RATV,REP,729,-8.2620165652188,-390.678876536811,171.0022298142576,-0.00030495533130989573,-0.014420160658066403,0.006311781298922733
refurbishment_support,0.25,RATV,REU,729,-0.0033240898965307686,-0.1733180833399688,0.08082816520936875,-0.00025571516701623586,-0.013332991588004054,0.006217938867327597
refurbishment_support,0.5,ELMA,INC,729,-0.45418745634455604,-0.6461859964137773,-0.3724864591211343,-0.0002968170318693485,-0.0004222904151398935,-0.00024342443557927136
refurbishment_support,0.5,ELMA,REC,729,0.8190923158003045,0.16401703065746176,2.8772353134943813,0.0014736103069124863,0.00029507929963897125,0.005176368440516046
refurbishment_support,0.5,ELMA,REP,729,-12.73529201621659,-499.57224980855153,224.83445582549302,-0.0005720972409228839,-0.02244188082952313,0.010100056730412943
refurbishment_support,0.5,ELMA,REU,729,-0.0014635701627945252,-0.05763505694992532,0.02575317781066122,-0.0006971494327727392,-0.02745358458507054,0.012267135364742025
refurbishment_support,0.5,OFMA,INC,729,-0.007867321477470768,-0.010723613030553247,-0.006628750343227852,-0.0002951448727341028,-0.00040229948810607314,-0.0002486795133566975
refurbishment_support,0.5,OFMA,REC,729,0.014164389157560284,0.0020446076918975847,0.04908013397121298,0.0012606237922227841,0.000181969096831265,0.004368108212881786
refurbishment_support,0.5,OFMA,REP,729,-4.400953551481683,-21.9104563914459,3.9398109830620873,-0.00488404259035743,-0.024315549105025893,0.004372280782821459
refurbishment_support,0.5,OFMA,REU,729,-0.0014257908763137817,-0.01690385471779554,0.004942142238947511,-0.0040253619334551256,-0.04772378224609649,0.01395289559561036
refurbishment_support,0.5,RATV,INC,729,-0.13311145664121682,-0.20946347694871292,-0.08678745561911683,-0.00036965036811360846,-0.000581679844201127,-0.000241008668425287
refurbishment_support,0.5,RATV,REC,729,0.3241935798300659,0.05085376660642282,1.0788447416757236,0.002287137593031901,0.00035876577634198217,0.007611089544169016
refurbishment_support,0.5,RATV,REP,729,-25.201931219591643,-784.3756758580275,323.243140554172,-0.000930216397419707,-0.028951714416754322,0.011931072546662001
refurbishment_support,0.5,RATV,REU,729,-0.006936116322245667,-0.3475502804996493,0.1606883203235605,-0.0005335806789215314,-0.026736304008282655,0.012361410776520296
refurbishment_support,1.0,ELMA,INC,729,-0.9686193819215703,-1.360806898698641,-0.7864031937212701,-0.0006330045577810449,-0.0008893038743735116,-0.0005139240605443934
refurbishment_support,1.0,ELMA,REC,729,4.954737787795352,1.4476316182402726,12.024907637098408,0.00891395576701281,0.0026044010328273603,0.02163373711592607
refurbishment_support,1.0,ELMA,REP,729,-26.080912771635667,-1005.1023979945976,452.39707575515513,-0.0011716117870248773,-0.04515140351752295,0.020322668574190583
refurbishment_support,1.0,ELMA,REU,729,-0.0034040055142454673,-0.1157203025036253,0.051024937765248524,-0.001621446360234846,-0.05512160967852299,0.024304954640771384
refurbishment_support,1.0,OFMA,INC,729,-0.01644096209486562,-0.021757957550330526,-0.013433753133699683,-0.0006167875151677825,-0.0008162561591687767,-0.0005039711889670749
refurbishment_support,1.0,OFMA,REC,729,0.08630722749808781,0.022785899501558515,0.20757323205923325,0.007681301552407658,0.0020279340477969135,0.018473917374882527
refurbishment_support,1.0,OFMA,REP,729,-5.7648579605098575,-42.074585967902244,10.803729395328112,-0.006397661660621688,-0.046693078541968566,0.011989645853843238
refurbishment_support,1.0,OFMA,REU,729,-0.0004768658333001996,-0.03447216182926849,0.012455723988732958,-0.0013463107420737441,-0.09732347870691793,0.03516560389802577
refurbishment_support,1.0,RATV,INC,729,-0.32203881117766286,-0.49839913356800025,-0.20671915730554247,-0.0008943014230514525,-0.0013840538435958224,-0.0005740588715822663
refurbishment_support,1.0,RATV,REC,729,2.0194473784462446,0.6081165202505048,5.935956589946542,0.014246901554358853,0.004290171801482686,0.0418772928032337
refurbishment_support,1.0,RATV,REP,729,-79.74212801206158,-1580.591817216089,603.2427891047118,-0.002943323445954669,-0.05834046657737217,0.02226600529780724
refurbishment_support,1.0,RATV,REU,729,-0.014778946546214922,-0.6984000622770754,0.321823457334828,-0.001136912930162805,-0.05372643163342883,0.024757194210663927
refurbishment_support,2.0,ELMA,INC,729,-1.9662587926753048,-2.9732037652249517,-1.5072569204512263,-0.0012849740576854397,-0.0019430248555067106,-0.0009850107464295012
refurbishment_support,2.0,ELMA,REC,729,9.49699482361175,3.7959633741284904,25.351435332455573,0.017085826819282196,0.00682923114388221,0.04560918919673989
