instrument,wedge_percent,parameter,value,valid_parameter_configurations,median_reduction_percent,lower_quartile_reduction_percent,upper_quartile_reduction_percent,minimum_reduction_percent,maximum_reduction_percent,median_reduction_tonnes,lower_quartile_reduction_tonnes,upper_quartile_reduction_tonnes
refurbishment_support,0.25,CET transformation elasticity,0.5,243,5.382912451399779e-5,3.243118244273122e-6,0.00015426939636179498,-3.468357894716141e-5,0.002560070602396389,273.45672339200974,16.475328117609024,783.7022063732147
refurbishment_support,0.25,CET transformation elasticity,1.0,243,1.1445784728054177e-5,-1.6034232798460084e-5,0.00011406781236612953,-4.261847463445037e-5,0.018739075788723712,58.145600855350494,-81.4553237259388,579.474596619606
refurbishment_support,0.25,CET transformation elasticity,2.0,243,-2.6903051398804196e-6,-1.948627040133021e-5,8.130150617341437e-5,-5.740461120255801e-5,0.0003093703116918987,-13.666988551616669,-98.99198070168495,413.01885709166527
refurbishment_support,0.25,Circular-service elasticity,0.5,243,-2.084524424939898e-5,-2.7648715733086578e-5,-9.890964768409374e-6,-5.740461120255801e-5,0.018739075788723712,-105.89568829536438,-140.45792642235756,-50.2469776570797
refurbishment_support,0.25,Circular-service elasticity,1.0,243,1.0903393143846944e-5,-1.5718472957340278e-6,3.883822447210964e-5,-2.23393795907088e-5,0.0004955424651866635,55.39020353555679,-7.985123574733734,197.30162253975868
refurbishment_support,0.25,Circular-service elasticity,2.0,243,0.0001336432426325728,0.00010124549803510766,0.00016377674356463163,6.0709036383120554e-5,0.002560070602396389,678.9195173382759,514.3361033797264,832.0003727972507
refurbishment_support,0.25,Metal-substitution elasticity,0.5,243,1.6147135536651255e-5,-1.4990702188426334e-5,0.00010735297964426592,-4.880039663476877e-5,0.0004955424651866635,82.02887964248657,-76.1540957391262,545.362651258707
refurbishment_support,0.25,Metal-substitution elasticity,1.0,243,1.5660162633352954e-5,-1.232488621624885e-5,0.00010629017837332814,-5.740461120255801e-5,0.00033787645804561286,79.55501413345337,-62.61151432991028,539.9635266065598
refurbishment_support,0.25,Metal-substitution elasticity,2.0,243,1.615346624906628e-5,-1.2455427262678203e-5,0.00010684432364762377,-4.418822863515385e-5,0.018739075788723712,82.0610402226448,-63.27467441558838,542.7786337137222
refurbishment_support,0.25,Post-use activity productivity elasticity,0.5,243,1.129902100006795e-5,-1.762313700915965e-5,0.00010571698406850667,-5.213815528389276e-5,0.002560070602396389,57.400028109550476,-89.52709794044495,537.0516487360001
