instrument,wedge_percent,region,activity_group,valid_parameter_configurations,median_output_change_percent,lower_quartile_output_change_percent,upper_quartile_output_change_percent
refurbishment_support,0.25,DE,Metal components,729,-9.346412440658062e-5,-0.0002540185642607649,-4.6927220076485464e-5
refurbishment_support,0.25,DE,Other manufacturing,729,-0.00011882602853896526,-0.00024849142937766194,-6.825596851056662e-5
refurbishment_support,0.25,DE,Other services,729,-0.0003217630458296484,-0.00034694985187044846,-0.00029030323921430684
refurbishment_support,0.25,DE,Trade,729,-0.00017772203927402007,-0.00023915857024769987,-0.0001289422833949951
refurbishment_support,0.25,FR,Basic metals,729,-0.0001033873092254509,-0.00038838162830441076,2.414353582625799e-5
refurbishment_support,0.25,FR,Metal components,729,-0.00031601039678366466,-0.0007905248139761871,-0.0001451814929720558
refurbishment_support,0.25,FR,Other manufacturing,729,-0.0005681667161083765,-0.0013646024573432823,-0.0002785310827091442
refurbishment_support,0.25,FR,Other services,729,-0.0001444887025692235,-0.00023821402748147602,-9.41084546401961e-5
refurbishment_support,0.25,FR,Trade,729,-0.0001262078112462819,-0.00023583727979392726,-7.754471964549538e-5
refurbishment_support,0.25,IT,Basic metals,729,-4.726017851518049e-5,-0.000164958280668785,6.708430466699208e-6
refurbishment_support,0.25,IT,Metal components,729,-0.0001220282198066711,-0.0001648372027873672,-9.584905054094058e-5
refurbishment_support,0.25,IT,Other manufacturing,729,-0.00013606329655191428,-0.00022334171322357948,-5.685562339818883e-5
refurbishment_support,0.25,IT,Other services,729,-9.869878075940987e-5,-0.00048204035302257367,0.0004182446093126139
refurbishment_support,0.25,IT,Trade,729,-0.00018478328868143498,-0.0003054089946275003,-4.979370255009411e-5
refurbishment_support,0.25,PL,Basic metals,729,-0.00024326911715304337,-0.0009387812959085487,7.139923779271629e-5
refurbishment_support,0.25,PL,Metal components,729,5.0531379526433035e-5,-0.00023863003532739561,0.0005807556194953497
refurbishment_support,0.25,PL,Other manufacturing,729,-0.0009681200933698214,-0.0025045464523421974,-0.0004673333066307625
refurbishment_support,0.25,PL,Other services,729,-0.00021961708687181735,-0.00031606293541266533,-0.0001813609045275987
refurbishment_support,0.25,PL,Trade,729,-5.3501908414701475e-5,-0.0002256711150172992,8.52057190692359e-5
refurbishment_support,0.25,REU,Basic metals,729,-2.073651537148898e-5,-4.447388772810273e-5,-9.564103131687562e-6
refurbishment_support,0.25,REU,Metal components,729,-1.9092713288149028e-5,-3.370412358094653e-5,5.677976222528945e-6
refurbishment_support,0.25,REU,Other manufacturing,729,-6.32299483105392e-5,-0.00013195892519801689,-3.3369472263178324e-5
refurbishment_support,0.25,REU,Other services,729,-0.0003277329996276279,-0.0003611117761370686,-0.0003027927527488039
refurbishment_support,0.25,REU,Trade,729,-0.00027032429913420597,-0.0003628164765734355,-0.0002282548677845499
refurbishment_support,0.25,SK,Basic metals,729,-0.0006833123020714152,-0.002681102236462678,0.00020977731707355068
refurbishment_support,0.25,SK,Metal components,729,-0.0009822049042652852,-0.001525510121760687,-0.00012932711329191867
refurbishment_support,0.25,SK,Other manufacturing,729,7.041623158177479e-5,-0.0018221622353119227,0.00358103491431269
refurbishment_support,0.25,SK,Other services,729,-0.0014190663408307975,-0.003895701069461095,-9.316262606923123e-5
refurbishment_support,0.25,SK,Trade,729,-0.00028405707889570247,-0.012265982722580868,0.004951417372078304
refurbishment_support,0.5,DE,Basic metals,729,-7.579125484989209e-5,-0.0002403468347678652,-1.729826448748882e-6
