instrument,wedge_percent,region,factor_group,valid_parameter_configurations,median_utilisation_change_percentage_points,lower_quartile_utilisation_change_percentage_points,upper_quartile_utilisation_change_percentage_points
repair_support,1.0,REU,Labour,729,4.91094398480385e-7,-3.0898060776607394e-6,2.080992733688447e-6
repair_support,1.0,SK,Capital,729,-2.7713716133082045e-5,-0.00019964713133813206,-3.5671903320100284e-6
repair_support,1.0,SK,Labour,729,-5.5649553265535445e-5,-0.0004215730916912186,-4.005610598767362e-6
repair_support,2.0,DE,Capital,729,-6.456450818426163e-6,-1.3228046114033276e-5,-1.0568832475854606e-7
repair_support,2.0,DE,Labour,729,-4.714797219307343e-7,-1.0195206390228861e-5,9.325663352655056e-7
repair_support,2.0,FR,Capital,729,-2.317413732022544e-5,-5.571534722470517e-5,-8.369020454424003e-6
repair_support,2.0,FR,Labour,729,-4.798400199401698e-6,-2.1409856632015334e-5,3.226039324566443e-7
repair_support,2.0,IT,Capital,729,-8.464069356506343e-6,-3.3899489670918825e-5,-6.140552510913722e-8
repair_support,2.0,IT,Labour,729,-1.9625901281905556e-5,-4.943399064538667e-5,-6.618357861754021e-6
repair_support,2.0,PL,Capital,729,-2.0519506238603213e-5,-8.07942090674807e-5,-1.593649034958844e-6
repair_support,2.0,PL,Labour,729,-7.82301182722378e-6,-4.972739640063395e-5,1.0314198384264728e-7
repair_support,2.0,REU,Capital,729,-2.4783607055489654e-6,-7.82029090373726e-6,1.8720452743536953e-6
repair_support,2.0,REU,Labour,729,-5.464266039645338e-7,-6.074750413809227e-6,3.20823425603578e-6
repair_support,2.0,SK,Capital,729,-0.0001859117441438407,-0.0005155933839429139,-2.748642354832853e-5
repair_support,2.0,SK,Labour,729,-0.00035026053597508877,-0.0012223728260374322,-5.892119704364873e-5
reuse_support,0.25,DE,Capital,729,-1.1801200461292183e-6,-1.2620499778570604e-5,9.860787297810703e-7
reuse_support,0.25,DE,Labour,729,-1.8379435418047763e-6,-1.4968912798174472e-5,6.064152846541049e-7
reuse_support,0.25,FR,Capital,729,-1.7677556451989318e-5,-9.46607646712394e-5,-6.513188655077329e-7
reuse_support,0.25,FR,Labour,729,-2.2019252421401347e-6,-1.5483435433782944e-5,6.691078024978481e-7
reuse_support,0.25,IT,Capital,729,-4.38340090891387e-6,-3.571661999490772e-5,4.542821785413764e-7
reuse_support,0.25,IT,Labour,729,-2.487519054072962e-5,-0.00011128526882231426,-6.987950551540223e-7
reuse_support,0.25,PL,Capital,729,-1.4183324847927281e-6,-1.57819226687117e-5,3.9333045709355474e-7
reuse_support,0.25,PL,Labour,729,-1.8917745370217176e-6,-1.8304209670194638e-5,3.345743460059225e-7
reuse_support,0.25,REU,Capital,729,-1.987402542535932e-6,-1.3171044177529012e-5,8.289082087387101e-7
reuse_support,0.25,REU,Labour,729,-2.165344115123702e-6,-2.1050453202775543e-5,1.0182688692239594e-6
reuse_support,0.25,SK,Capital,729,-5.74591204616226e-6,-0.00042165016718165305,2.571914903271022e-7
reuse_support,0.25,SK,Labour,729,-2.1303892305812866e-5,-0.0021963326492513424,-3.716053020852428e-7
reuse_support,0.5,DE,Capital,729,-4.525323415993654e-6,-6.8235235495262e-5,6.68800592684704e-7
reuse_support,0.5,DE,Labour,729,-6.3367561864424715e-6,-5.89639889359006e-5,3.475077559045303e-7
reuse_support,0.5,FR,Capital,729,-0.00017463813642981663,-0.0004533615435620142,-9.180406412845343e-6
reuse_support,0.5,FR,Labour,729,-4.936665654042827e-6,-4.218294795688138e-5,7.483580866107786e-7
reuse_support,0.5,IT,Capital,729,-1.1726058923855476e-5,-0.00011049420550746092,1.4010287374688346e-7
reuse_support,0.5,IT,Labour,729,-3.243979943556852e-5,-0.000194712513579276,-1.121290804650954e-6
reuse_support,0.5,PL,Capital,729,-8.0542996938604e-6,-8.561556159580874e-5,-2.1792663229547315e-7
