account_id	account_type	region	source_code	account_label
COM:SK:METAL_COMPONENTS	commodity	SK	METAL_COMPONENTS	SK commodity: Metal components and fabricated metals
COM:SK:NEW_ELMA	commodity	SK	NEW_ELMA	SK commodity: New CE-RISE electrical equipment
COM:SK:NEW_OFMA	commodity	SK	NEW_OFMA	SK commodity: New CE-RISE office machinery and computers
COM:SK:NEW_RATV	commodity	SK	NEW_RATV	SK commodity: New CE-RISE communication and consumer electronics
COM:SK:OTHER_MANUFACTURING	commodity	SK	OTHER_MANUFACTURING	SK commodity: Other manufacturing
COM:SK:OTHER_SERVICES	commodity	SK	OTHER_SERVICES	SK commodity: Other market services
COM:SK:PUBLIC_SOCIAL	commodity	SK	PUBLIC_SOCIAL	SK commodity: Public and social services
COM:SK:REC_EE	commodity	SK	REC_EE	SK commodity: Recycling and recovery activities for CE-RISE chains
COM:SK:REF_ELMA	commodity	SK	REF_ELMA	SK commodity: Refurbishment route for ELMA
COM:SK:REF_OFMA	commodity	SK	REF_OFMA	SK commodity: Refurbishment route for OFMA
COM:SK:REF_RATV	commodity	SK	REF_RATV	SK commodity: Refurbishment route for RATV
