recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	PUBLIC_SOCIAL	final	P3_S14	0.002134245752896791	0.002134245752896791	4.173762244745546e-5
DE	DE	REC_EE	final	P3_S14	1.92259895103491e-6	1.92259895103491e-6	3.759862660017182e-8
DE	DE	REF_ELMA	final	P3_S14	0.0004047659491725842	0.0004047659491725842	7.915662169279825e-6
DE	DE	REF_RATV	final	P3_S14	0.00028494396619644773	0.00028494396619644773	5.572405925440288e-6
DE	DE	REP_ELMA	final	P3_S14	6.806710854998234e-8	6.806710854998234e-8	1.331130341430046e-9
DE	DE	REP_RATV	final	P3_S14	2.3507597194402487e-7	2.3507597194402487e-7	4.597180127991948e-9
DE	DE	REU_ELMA	final	P3_S14	6.216236275909766e-6	6.216236275909766e-6	1.2156562681497583e-7
DE	DE	REU_RATV	final	P3_S14	1.1675781464198474e-5	1.1675781464198474e-5	2.2833329192305096e-7
DE	DE	TRADE	final	P3_S14	0.0026774769370215084	0.0026774769370215084	5.2361131026028266e-5
DE	DE	TRANSPORT	final	P3_S14	0.003570314288640914	0.003570314288640914	6.982158900669778e-5
DE	DE	UTIL_WASTE	final	P3_S14	0.006200062663692914	0.006200062663692914	0.00012124933328626561
DE	DE	AGRI_FOOD	final	P3_S14	0.043508343426457666	0.043508343426457666	0.0008508555346932144
DE	DE	BASIC_METALS	final	P3_S14	4.9800367706561	4.9800367706561	0.0973903282815347
DE	DE	CONSTRUCTION	final	P3_S14	0.3235639207577076	0.3235639207577076	0.006327663411710522
DE	DE	EXTRACTIVE	final	P3_S14	0.011599356327049231	0.011599356327049231	0.0002268387107505217
DE	DE	INC_EE	final	P3_S14	5.779187383856235e-6	5.779187383856235e-6	1.1301863468773362e-7
DE	DE	METAL_COMPONENTS	final	P3_S14	1.5938189383243464	1.5938189383243464	0.03116895653047262
DE	DE	NEW_ELMA	final	P3_S14	0.30765342254005756	0.30765342254005756	0.0060165153788947785
DE	DE	NEW_OFMA	final	P3_S14	3.666577955095005e-7	3.666577955095005e-7	7.170413536314024e-9
DE	DE	NEW_RATV	final	P3_S14	0.06417632096520713	0.06417632096520713	0.0012550415297193133
DE	DE	OTHER_MANUFACTURING	final	P3_S14	2.7373779939541065	2.7373779939541065	0.053532564866326605
DE	DE	OTHER_SERVICES	final	P3_S14	0.1897004544130154	0.1897004544130154	0.003709809863111888
DE	DE	PUBLIC_SOCIAL	final	P3_S14	0.01528308787537146	0.01528308787537146	0.0002988783042945033
DE	DE	REC_EE	final	P3_S14	1.573936578493566e-5	1.573936578493566e-5	3.0780134190376476e-7
DE	DE	REF_ELMA	final	P3_S14	0.005570246509195622	0.005570246509195622	0.00010893255634900939
DE	DE	REF_OFMA	final	P3_S14	1.4388297303944953e-7	1.4388297303944953e-7	2.8137964886128874e-9
DE	DE	REF_RATV	final	P3_S14	0.003938557248330701	0.003938557248330701	7.702300224582683e-5
DE	DE	REP_ELMA	final	P3_S14	1.1957161312547219e-6	1.1957161312547219e-6	2.3383599743799087e-8
DE	DE	REP_RATV	final	P3_S14	2.5712845326004664e-6	2.5712845326004664e-6	5.028441681610321e-8
DE	DE	REU_ELMA	final	P3_S14	0.00011912923719581586	0.00011912923719581586	2.329708805925302e-6
DE	DE	REU_OFMA	final	P3_S14	4.9699425143285516e-8	4.9699425143285516e-8	9.719292352675648e-10
DE	DE	REU_RATV	final	P3_S14	0.00018346049045253016	0.00018346049045253016	3.5877802142230634e-6
DE	DE	TRADE	final	P3_S14	0.027913726564996036	0.027913726564996036	0.0005458849239315565
DE	DE	TRANSPORT	final	P3_S14	0.041994726436434995	0.041994726436434995	0.000821255019207182
DE	DE	UTIL_WASTE	final	P3_S14	0.07903623564886986	0.07903623564886986	0.0015456441971142465
DE	DE	AGRI_FOOD	final	P3_S14	0.015606566518408258	0.015606566518408258	0.000305204300002617
DE	DE	BASIC_METALS	final	P3_S14	1.4003924241894867	1.4003924241894867	0.02738627929785751
DE	DE	CONSTRUCTION	final	P3_S14	0.1059324198924841	0.1059324198924841	0.002071629914416718
