table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	BASIC_METALS	FR	NEW_RATV	57.491116830540385	57.268759126287286	57.268759126287286	-0.2223577042530991	0.0
intermediate	DE	BASIC_METALS	FR	OTHER_MANUFACTURING	823.3158254400319	820.1314966791259	820.1314966791259	-3.1843287609059416	0.0
intermediate	DE	BASIC_METALS	FR	OTHER_SERVICES	337.5573842682538	336.2518176145252	336.2518176145252	-1.305566653728647	0.0
intermediate	DE	BASIC_METALS	FR	PUBLIC_SOCIAL	4.745189314686735	4.726836402786099	4.726836402786099	-0.018352911900636038	0.0
intermediate	DE	BASIC_METALS	FR	REC_EE	0.3974556091507306	0.3959183748497555	0.3959183748497555	-0.0015372343009750766	0.0
intermediate	DE	BASIC_METALS	FR	REF_ELMA	0.6283401490316991	0.6259099253600915	0.6259099253600915	-0.002430223671607612	0.0
intermediate	DE	BASIC_METALS	FR	REF_RATV	1.2545783430910824	1.249726025453948	1.249726025453948	-0.004852317637134451	0.0
intermediate	DE	BASIC_METALS	FR	REP_ELMA	0.056756966392049524	0.05653744815265776	0.05653744815265776	-0.00021951823939176524	0.0
intermediate	DE	BASIC_METALS	FR	REP_RATV	0.058295593620172205	0.058070124450671445	0.058070124450671445	-0.00022546916950075963	0.0
intermediate	DE	BASIC_METALS	FR	REU_ELMA	0.0484007018917948	0.0482135030765653	0.0482135030765653	-0.0001871988152295015	0.0
intermediate	DE	BASIC_METALS	FR	REU_RATV	0.04430476796318138	0.04413341094256901	0.04413341094256901	-0.0001713570206123699	0.0
intermediate	DE	BASIC_METALS	FR	TRADE	23.647072976616204	23.555613475579122	23.555613475579122	-0.09145950103708245	0.0
intermediate	DE	BASIC_METALS	FR	TRANSPORT	8.94189969103597	8.907315212657842	8.907315212657842	-0.03458447837812706	0.0
intermediate	DE	BASIC_METALS	FR	UTIL_WASTE	118.57833618353592	118.11971217235796	118.11971217235796	-0.45862401117796026	0.0
intermediate	DE	BASIC_METALS	IT	AGRI_FOOD	34.68839111505456	34.48748478661084	34.48748478661084	-0.2009063284437147	0.0
intermediate	DE	BASIC_METALS	IT	BASIC_METALS	1601.2459195863373	1591.971910954096	1591.971910954096	-9.274008632241248	0.0
intermediate	DE	BASIC_METALS	IT	CONSTRUCTION	19.405461448949445	19.293069957555872	19.293069957555872	-0.11239149139357352	0.0
intermediate	DE	BASIC_METALS	IT	EXTRACTIVE	4.499791140535816	4.473729496056252	4.473729496056252	-0.026061644479564272	0.0
intermediate	DE	BASIC_METALS	IT	INC_EE	0.020602696802740607	0.02048337122903646	0.02048337122903646	-0.00011932557370414668	0.0
intermediate	DE	BASIC_METALS	IT	METAL_COMPONENTS	452.4834683833402	449.8627993528033	449.8627993528033	-2.6206690305369307	0.0
intermediate	DE	BASIC_METALS	IT	NEW_ELMA	172.63006331505542	171.63023394607146	171.63023394607146	-0.999829368983967	0.0
intermediate	DE	BASIC_METALS	IT	NEW_OFMA	5.677487674788024	5.644605111865379	5.644605111865379	-0.03288256292264524	0.0
intermediate	DE	BASIC_METALS	IT	NEW_RATV	19.78351011391061	19.66892906091418	19.66892906091418	-0.11458105299642796	0.0
intermediate	DE	BASIC_METALS	IT	OTHER_MANUFACTURING	1163.4403306067506	1156.7019804650486	1156.7019804650486	-6.738350141702085	0.0
